06/15-08:19:59.251808  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.57.10:1045 -> 37.157.255.194:80
09/18-12:24:33.664495  [**] [1:2013036:2] ET TROJAN Java EXE Download by Vulnerable Version - Likely Driveby [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 89.208.34.81:80 -> 192.168.76.10:1048
09/18-12:24:51.045348  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.76.10:1136 -> 89.208.34.81:80
02/27-22:58:05.873140  [**] [1:2014703:8] ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Reserved Bit Set - Likely Kazy [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {UDP} 192.168.117.10:1085 -> 194.165.17.3:53
02/27-22:58:13.948939  [**] [1:2021076:1] ET INFO SUSPICIOUS Dotted Quad Host MZ Response [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 173.233.134.142:80 -> 192.168.117.10:1106
02/27-22:58:19.060291  [**] [1:2014562:4] ET TROJAN Pony Downloader HTTP Library MSIE 5 Win98 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.117.10:1114 -> 149.47.136.188:80
09/24-14:28:52.928030  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
07/04-15:33:05.541182  [**] [1:2016970:3] ET CURRENT_EVENTS Karagany encrypted binary (3) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 37.157.255.152:80 -> 192.168.121.10:1041
07/04-15:33:09.684329  [**] [1:2015723:2] ET TROJAN ZeroAccess Checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.121.10:1058 -> 213.108.252.185:80
07/04-14:21:48.739860  [**] [1:2021076:1] ET INFO SUSPICIOUS Dotted Quad Host MZ Response [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 178.162.137.64:80 -> 192.168.74.10:1047
05/31-06:20:23.368054  [**] [1:2017199:2] ET CURRENT_EVENTS Java UA Requesting Numeric.ext From Base Dir (Observed in Redkit/Sakura) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.72.10:1040 -> 188.72.248.160:80
05/26-23:41:35.007735  [**] [1:2016742:7] ET TROJAN Possible W32/Citadel Download From CnC Server Self Referenced /files/ attachment [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 85.17.103.30:80 -> 192.168.23.10:1039
05/26-23:41:44.303846  [**] [1:2015474:2] ET TROJAN ZeroAccess udp traffic detected [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 192.168.23.10:1043 -> 66.85.130.234:53
01/06-03:09:13.019653  [**] [1:2019714:2] ET CURRENT_EVENTS Terse alphanumeric executable downloader high likelihood of being hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.2.10:1051 -> 174.122.209.61:80
03/09-20:28:35.347641  [**] [1:2017694:4] ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.31.10:1053 -> 67.196.49.166:80
03/09-20:29:14.159260  [**] [1:2021076:1] ET INFO SUSPICIOUS Dotted Quad Host MZ Response [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 67.196.49.166:80 -> 192.168.31.10:1066
12/15-23:09:16.777838  [**] [1:2012593:4] ET POLICY HTTP Request to a *.ce.ms domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.119.10:1032 -> 71.231.3.181:80
12/15-23:09:47.831076  [**] [1:2012707:3] ET TROJAN Suspicious double Server Header [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 68.41.167.149:80 -> 192.168.119.10:1064
12/15-23:09:47.993742  [**] [1:2017473:5] ET CURRENT_EVENTS Possible CoolEK Variant Payload Download Sep 16 2013 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.119.10:1066 -> 79.137.237.67:80
12/15-23:09:47.993742  [**] [1:2016581:2] ET CURRENT_EVENTS SUSPICIOUS Java Request to ChangeIP Dynamic DNS Domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.119.10:1066 -> 79.137.237.67:80
06/02-20:38:14.954564  [**] [1:2016742:7] ET TROJAN Possible W32/Citadel Download From CnC Server Self Referenced /files/ attachment [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 95.170.88.77:80 -> 192.168.125.10:1044
05/24-17:15:14.972673  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.18.10:1038 -> 188.72.248.213:80
05/26-22:33:26.651807  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.60:80 -> 192.168.14.10:1067
05/26-22:33:52.784325  [**] [1:2014723:1] ET TROJAN Suspicious lcon http header in response seen with Medfos/Midhos downloader [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 78.140.131.157:80 -> 192.168.14.10:1095
06/02-00:39:15.946621  [**] [1:2015483:2] ET INFO Java .jar request to dotted-quad domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.29.10:1046 -> 78.159.101.181:80
03/05-17:35:53.508682  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.72.10:1046 -> 81.94.43.145:80
05/25-01:23:49.909641  [**] [1:2014519:4] ET INFO EXE - Served Inline HTTP [**] [Classification: Misc activity] [Priority: 3] {TCP} 188.72.248.218:80 -> 192.168.22.10:1047
11/23-13:42:04.085596  [**] [1:2013487:4] ET CURRENT_EVENTS Likely Generic Java Exploit Attempt Request for Java to decimal host [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.79.10:1062 -> 219.90.118.78:80
01/26-01:43:52.830009  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.64.10:1041 -> 239.255.255.250:1900
08/21-06:21:38.053766  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.45.10:1114 -> 188.190.126.80:80
06/02-06:12:09.275555  [**] [1:2014884:1] ET CURRENT_EVENTS Request to malicious SutraTDS - lonly= in cookie [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.33.10:1126 -> 98.129.229.184:80
06/02-06:12:21.413835  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 78.159.102.31:80 -> 192.168.33.10:1194
06/02-06:12:24.805944  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.33.10:1194 -> 78.159.102.31:80
06/02-06:12:26.991497  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.33.10:1194 -> 78.159.102.31:80
07/31-14:20:45.244910  [**] [1:2015861:5] ET TROJAN System Progressive Detection FakeAV (AMD) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.51.10:1104 -> 123.108.108.42:80
02/08-15:22:41.439480  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.117.10:1069 -> 239.255.255.250:1900
12/12-16:02:54.556885  [**] [1:1201:7] ATTACK-RESPONSES 403 Forbidden [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 189.113.2.194:80 -> 192.168.107.10:1092
11/12-00:44:07.721124  [**] [1:2014237:2] ET CURRENT_EVENTS DRIVEBY Blackhole - Payload Download - calc.exe [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 193.106.174.219:80 -> 192.168.34.10:1033
03/14-17:32:22.965786  [**] [1:2017849:1] ET CURRENT_EVENTS Possible CVE-2013-2551 As seen in SPL2 EK [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 67.196.50.144:80 -> 192.168.57.10:1063
06/03-06:26:35.089379  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.53.10:1040 -> 89.149.226.216:80
06/09-01:57:03.751835  [**] [1:2015050:3] ET TROJAN Generic - 8Char.JAR Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 37.157.255.148:80 -> 192.168.61.10:1038
05/24-02:40:21.577777  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
01/27-14:06:26.334367  [**] [1:2014775:1] ET CURRENT_EVENTS Blackhole PDF Payload Request [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.123.10:1037 -> 193.19.242.198:80
05/25-04:22:59.261005  [**] [1:2017637:1] ET INFO Java File Sent With X-Powered By HTTP Header - Common In Exploit Kits [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 188.72.248.219:80 -> 192.168.87.10:1044
08/06-21:47:52.361381  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.56.10:1063 -> 95.163.88.210:80
11/12-16:22:01.560934  [**] [1:402:7] ICMP Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 186.39.157.87 -> 192.168.18.10
11/16-06:19:33.497859  [**] [1:2014475:4] ET INFO JAVA - Java Class Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.14.12.11:80 -> 192.168.83.10:1265
09/13-14:51:16.085350  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
12/22-01:37:54.793295  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
10/22-14:12:01.884956  [**] [1:2013685:1] ET TROJAN ZeroAccess/Max++ Rootkit C&C Activity 1 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.39.10:1050 -> 193.105.154.210:80
10/22-14:12:06.250634  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.39.10:1048 -> 239.255.255.250:1900
07/06-20:36:39.443645  [**] [1:2015481:2] ET CURRENT_EVENTS Compromised Wordpress Install Serving Malicious JS [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 184.154.176.98:80 -> 192.168.2.10:1031
11/05-04:33:26.421249  [**] [1:2015878:1] ET POLICY Maxmind geoip check to /app/geoip.js [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.68.10:1044 -> 50.22.196.70:80
06/22-00:30:37.258053  [**] [1:2014033:1] ET CURRENT_EVENTS DRIVEBY Generic Java Rhino Scripting Engine Exploit Previously Requested edu.class [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.52.10:1044 -> 200.98.197.2:80
09/06-08:02:31.338299  [**] [1:2013036:2] ET TROJAN Java EXE Download by Vulnerable Version - Likely Driveby [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 207.45.178.74:80 -> 192.168.69.10:1047
09/06-08:02:50.796353  [**] [1:2016858:7] ET TROJAN Generic - POST To .php w/Extended ASCII Characters (Likely Zeus Derivative) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.69.10:1055 -> 91.243.115.117:80
09/06-08:03:21.735597  [**] [1:3192:2] WEB-CLIENT Windows Media Player directory traversal via Content-Disposition attempt [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 91.243.115.117:80 -> 192.168.69.10:1055
02/11-17:09:06.636119  [**] [1:2017639:2] ET INFO JAR Size Under 30K Size - Potentially Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 65.254.250.114:80 -> 192.168.85.10:1051
02/11-17:09:10.827969  [**] [1:2017199:2] ET CURRENT_EVENTS Java UA Requesting Numeric.ext From Base Dir (Observed in Redkit/Sakura) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.85.10:1052 -> 65.254.250.114:80
02/11-17:09:42.667654  [**] [1:2016509:3] ET TROJAN W32/Zbot.Variant Fake MSIE 6.0 UA [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.85.10:1271 -> 31.170.162.12:80
12/26-20:41:39.279892  [**] [1:2015872:5] ET CURRENT_EVENTS Blackhole request for Payload [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.91.10:1106 -> 184.82.27.171:80
12/15-13:45:02.406578  [**] [1:2015474:2] ET TROJAN ZeroAccess udp traffic detected [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 192.168.45.10:1288 -> 194.165.17.3:53
01/10-09:40:06.822758  [**] [1:2012811:2] ET DNS DNS Query to a .tk domain - Likely Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.98.10:1029 -> 4.2.2.3:53
05/29-14:57:25.654087  [**] [1:2016540:2] ET CURRENT_EVENTS SUSPICIOUS JAR Download by Java UA with non JAR EXT matches various EKs [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 37.59.198.61:80 -> 192.168.10.10:1063
09/09-13:32:08.705165  [**] [1:2014819:1] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 129.121.100.74:80 -> 192.168.44.10:1034
09/09-13:32:08.705165  [**] [1:2014235:7] ET CURRENT_EVENTS DRIVEBY Blackhole - Payload Download - info.exe [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 129.121.100.74:80 -> 192.168.44.10:1034
12/29-16:09:31.359152  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 173.201.0.128:80 -> 192.168.29.10:1031
04/30-22:31:54.476362  [**] [1:2015665:1] ET CURRENT_EVENTS NeoSploit - TDS [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 192.168.79.10:1053 -> 37.59.198.59:80
07/13-03:34:21.928250  [**] [1:2017064:18] ET CURRENT_EVENTS Cool/BHEK/Goon Applet with Alpha-Numeric Encoded HTML entity [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 46.30.41.30:80 -> 192.168.124.10:1031
03/20-18:07:50.355987  [**] [1:2018959:2] ET POLICY PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 93.105.55.254:80 -> 192.168.103.10:1088
03/20-18:07:50.355987  [**] [1:2018241:1] ET TROJAN Possible Kelihos Infection Executable Download With Malformed Header [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 93.105.55.254:80 -> 192.168.103.10:1088
10/03-19:51:35.940806  [**] [1:2014891:2] ET CURRENT_EVENTS RedKit - Java Exploit Requested - 5 digit jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.108.10:1049 -> 85.25.176.71:80
08/10-19:43:51.407183  [**] [1:2017639:2] ET INFO JAR Size Under 30K Size - Potentially Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 77.92.153.87:80 -> 192.168.89.10:1046
02/09-20:04:51.354636  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 67.18.156.154:53 -> 192.168.92.10:1315
02/09-20:04:52.560739  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 67.18.156.154:53 -> 192.168.92.10:1359
03/03-22:10:15.299585  [**] [1:2015989:1] ET CURRENT_EVENTS RedKit - Potential Java Exploit Requested - 3 digit jar [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.25.10:1046 -> 174.122.106.15:80
03/28-15:04:02.307314  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.124.10:1145
03/28-15:04:10.504857  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.124.10:1477
03/28-15:04:37.948234  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.124.10:1929
05/01-15:16:23.757688  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 87.250.251.36:80 -> 192.168.59.10:1068
07/29-02:11:56.018327  [**] [1:2014892:3] ET CURRENT_EVENTS RedKit - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 67.23.243.185:80 -> 192.168.100.10:1043
02/16-17:02:24.392288  [**] [1:2018959:2] ET POLICY PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 31.151.130.162:80 -> 192.168.72.10:1043
11/22-14:52:36.063117  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.46.10:1043 -> 239.255.255.250:1900
08/13-13:54:36.250044  [**] [1:2014520:2] ET INFO EXE - Served Attached HTTP [**] [Classification: Misc activity] [Priority: 3] {TCP} 95.163.66.179:80 -> 192.168.121.10:1082
11/06-15:09:33.619713  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.55.10:1051 -> 213.179.207.141:80
02/17-01:48:44.781384  [**] [1:2018403:7] ET TROJAN GENERIC Likely Malicious Fake IE Downloading .exe [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.100.10:1043 -> 74.220.219.52:80
02/17-01:48:45.106907  [**] [1:2018403:7] ET TROJAN GENERIC Likely Malicious Fake IE Downloading .exe [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.100.10:1044 -> 74.220.219.52:80
02/17-01:48:45.289266  [**] [1:2010517:6] ET WEB_SERVER Possible HTTP 404 XSS Attempt (Local Source) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 74.220.219.52:80 -> 192.168.100.10:1044
07/11-11:41:34.469344  [**] [1:556:5] P2P Outbound GNUTella client request [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.98.10:1074 -> 76.170.111.146:6346
07/11-11:41:39.737663  [**] [1:556:5] P2P Outbound GNUTella client request [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.98.10:1087 -> 84.108.198.3:6346
10/03-00:19:27.576225  [**] [1:2012169:10] ET TROJAN Potential Blackhole Exploit Pack Binary Load Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.117.10:1069 -> 85.17.136.147:80
08/16-19:01:50.963122  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 78.140.181.188:80 -> 192.168.122.10:1084
05/16-20:22:24.763400  [**] [1:2014749:2] ET CURRENT_EVENTS Redkit Java Exploit request to /24842.jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.91.10:1064 -> 178.162.134.157:80
05/16-20:22:24.763400  [**] [1:2014891:2] ET CURRENT_EVENTS RedKit - Java Exploit Requested - 5 digit jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.91.10:1064 -> 178.162.134.157:80
03/07-04:13:55.936844  [**] [1:2016663:1] ET CURRENT_EVENTS Karagany encrypted binary (1) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 174.120.242.206:80 -> 192.168.106.10:1049
09/17-20:30:50.320962  [**] [1:2013170:2] ET POLICY HTTP Request to a *.cu.cc domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.9.10:1093 -> 89.208.141.137:80
04/27-14:15:04.231733  [**] [1:2017694:4] ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.46.10:1063 -> 193.169.245.6:80
01/10-18:10:07.284943  [**] [1:2017603:8] ET CURRENT_EVENTS Magnitude EK (formerly Popads) Java Exploit 32-32 byte hex java payload request Oct 16 2013 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.53.10:1041 -> 109.206.177.169:80
01/10-18:10:45.617973  [**] [1:2015665:1] ET CURRENT_EVENTS NeoSploit - TDS [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 192.168.53.10:1059 -> 109.206.177.169:80
11/14-20:11:05.485886  [**] [1:2017020:10] ET CURRENT_EVENTS Dotka Chef EK exploit/payload URI request [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.42.10:1050 -> 69.61.32.57:80
06/03-12:56:42.859612  [**] [1:2014726:59] ET POLICY Outdated Windows Flash Version IE [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.47.10:1031 -> 212.193.224.84:80
06/03-12:57:23.373650  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 69.172.216.156:80 -> 192.168.47.10:1112
08/02-19:55:56.690394  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.31.10:1050 -> 91.184.12.122:80
07/17-09:26:36.377329  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 193.189.74.80:80 -> 192.168.49.10:1055
06/22-18:51:22.416460  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.79.10:1055 -> 46.21.159.162:80
09/15-18:44:50.825371  [**] [1:2015474:2] ET TROJAN ZeroAccess udp traffic detected [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 192.168.33.10:1140 -> 194.165.17.4:53
11/10-14:38:44.202200  [**] [1:2018959:2] ET POLICY PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 142.4.194.3:53331 -> 192.168.29.10:1183
05/26-16:14:03.304307  [**] [1:2011374:5] ET POLICY HTTP Request to a *.co.cc domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.70.10:1072 -> 95.163.66.195:80
05/28-13:39:44.802274  [**] [1:2011374:5] ET POLICY HTTP Request to a *.co.cc domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.60.10:1060 -> 46.37.166.186:80
05/29-14:15:38.663982  [**] [1:2011374:5] ET POLICY HTTP Request to a *.co.cc domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.39.10:1069 -> 46.37.166.186:80
06/06-14:40:40.848257  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 216.18.162.184:80 -> 192.168.18.10:1047
06/02-03:12:52.335581  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.86.10:1044 -> 188.72.248.168:80
02/23-16:52:22.153159  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
07/05-04:07:22.356817  [**] [1:1113:5] WEB-MISC http directory traversal [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.53.10:1149 -> 68.67.151.230:80
07/05-04:08:25.343211  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 198.172.88.27:80 -> 192.168.53.10:1186
05/15-15:08:18.465219  [**] [1:2017199:2] ET CURRENT_EVENTS Java UA Requesting Numeric.ext From Base Dir (Observed in Redkit/Sakura) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.60.10:1046 -> 95.168.187.173:80
05/15-15:08:27.093729  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.60.10:1047 -> 95.168.187.173:80
01/12-00:26:51.280814  [**] [1:2007695:19] ET POLICY Windows 98 User-Agent Detected - Possible Malware or Non-Updated System [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.80.10:1050 -> 93.191.240.171:80
10/28-19:31:41.188935  [**] [1:2014526:1] ET CURRENT_EVENTS Exploit Kit Delivering JAR Archive to Client [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 109.236.85.57:80 -> 192.168.124.10:1073
12/14-04:46:30.439427  [**] [1:2015695:3] ET CURRENT_EVENTS DRIVEBY Generic - 8Char.JAR Naming Algorithm [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 70.85.182.93:80 -> 192.168.3.10:1135
08/13-20:56:26.816257  [**] [1:2013487:4] ET CURRENT_EVENTS Likely Generic Java Exploit Attempt Request for Java to decimal host [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.62.10:1077 -> 173.212.204.53:80
07/12-20:14:02.349661  [**] [1:2014264:5] ET POLICY IP Geo Location Request [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.112.10:1048 -> 208.91.207.10:80
08/04-18:00:24.897316  [**] [1:2018959:2] ET POLICY PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 168.62.20.37:80 -> 192.168.109.10:1131
11/28-17:01:55.480066  [**] [1:2329:6] MS-SQL probe response overflow attempt [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {UDP} 72.224.235.163:16471 -> 192.168.15.10:1164
02/19-03:27:15.324507  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.27.10:1036 -> 239.255.255.250:1900
05/16-22:46:16.615190  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
